lag,tipo,corr,sku
0,Hibridos y Electricos,0.0,00046br
0,Livianos,0.0,00046br
0,Menores,0.0,00046br
0,Pesados,0.0,00046br
0,Remolques y SemiR,0.0,00046br
1,Hibridos y Electricos,0.0,00046br
1,Livianos,0.0,00046br
1,Menores,0.0,00046br
1,Pesados,0.0,00046br
1,Remolques y SemiR,0.0,00046br
2,Hibridos y Electricos,0.0,00046br
2,Livianos,0.0,00046br
2,Menores,0.0,00046br
2,Pesados,0.0,00046br
2,Remolques y SemiR,0.0,00046br
3,Hibridos y Electricos,0.0,00046br
3,Livianos,-0.9907904610110972,00046br
3,Menores,0.0,00046br
3,Pesados,0.0,00046br
3,Remolques y SemiR,0.0,00046br
4,Hibridos y Electricos,0.0,00046br
4,Livianos,0.0,00046br
4,Menores,0.0,00046br
4,Pesados,0.956714516903974,00046br
4,Remolques y SemiR,-0.9411150958093731,00046br
5,Hibridos y Electricos,0.0,00046br
5,Livianos,0.0,00046br
5,Menores,0.0,00046br
5,Pesados,0.0,00046br
5,Remolques y SemiR,0.0,00046br
6,Hibridos y Electricos,0.0,00046br
6,Livianos,0.0,00046br
6,Menores,-0.993859269359618,00046br
6,Pesados,0.0,00046br
6,Remolques y SemiR,0.0,00046br
7,Hibridos y Electricos,0.0,00046br
7,Livianos,0.0,00046br
7,Menores,0.0,00046br
7,Pesados,0.0,00046br
7,Remolques y SemiR,0.0,00046br
0,Hibridos y Electricos,0.0,00051br
0,Livianos,0.0,00051br
0,Menores,0.0,00051br
0,Pesados,0.0,00051br
0,Remolques y SemiR,0.0,00051br
1,Hibridos y Electricos,0.0,00051br
1,Livianos,0.0,00051br
1,Menores,0.0,00051br
1,Pesados,0.0,00051br
1,Remolques y SemiR,0.0,00051br
2,Hibridos y Electricos,0.0,00051br
2,Livianos,0.0,00051br
2,Menores,0.0,00051br
2,Pesados,0.0,00051br
2,Remolques y SemiR,0.0,00051br
3,Hibridos y Electricos,0.0,00051br
3,Livianos,0.0,00051br
3,Menores,0.0,00051br
3,Pesados,0.0,00051br
3,Remolques y SemiR,0.0,00051br
4,Hibridos y Electricos,0.0,00051br
4,Livianos,0.0,00051br
4,Menores,0.0,00051br
4,Pesados,0.0,00051br
4,Remolques y SemiR,0.0,00051br
5,Hibridos y Electricos,0.0,00051br
5,Livianos,0.0,00051br
5,Menores,0.0,00051br
5,Pesados,0.0,00051br
5,Remolques y SemiR,0.0,00051br
6,Hibridos y Electricos,0.0,00051br
6,Livianos,0.0,00051br
6,Menores,0.0,00051br
6,Pesados,0.0,00051br
6,Remolques y SemiR,0.0,00051br
7,Hibridos y Electricos,0.0,00051br
7,Livianos,0.0,00051br
7,Menores,0.0,00051br
7,Pesados,0.0,00051br
7,Remolques y SemiR,0.0,00051br
0,Hibridos y Electricos,0.0,00259n
0,Livianos,0.0,00259n
0,Menores,0.0,00259n
0,Pesados,0.0,00259n
0,Remolques y SemiR,0.0,00259n
1,Hibridos y Electricos,0.0,00259n
1,Livianos,0.0,00259n
1,Menores,0.0,00259n
1,Pesados,0.0,00259n
1,Remolques y SemiR,0.0,00259n
2,Hibridos y Electricos,0.0,00259n
2,Livianos,0.0,00259n
2,Menores,0.0,00259n
2,Pesados,0.0,00259n
2,Remolques y SemiR,0.0,00259n
3,Hibridos y Electricos,0.0,00259n
3,Livianos,0.0,00259n
3,Menores,0.0,00259n
3,Pesados,0.0,00259n
3,Remolques y SemiR,0.0,00259n
4,Hibridos y Electricos,0.0,00259n
4,Livianos,0.0,00259n
